Experiment subset: sand-gravel-mud (SGM) on rough bed
Data tables for cross sections at x= 32, 66, and 90 m are listed in succession below,
separated by blank lines and headers.

						
Cross section: x = 32 m						
Column Headings: t is the time since gate release. h is the mean flow thickness. sigma is the mean						
basal total normal stress and pbed is the mean basal pore-fluid pressure. "SD" denotes the						
standard deviation from the mean.						

t(s)	h(m)		SD h(m)		sigma(kPa)	SD sigma(kPa)	pbed(kPa)	SD pbed(kPa)
0.61	-4.00E-05	0.000204151	-0.003236221	0.005460221	0.017936703	0.028122943
0.62	-4.00E-05	0.000107146	-0.003520829	0.006103782	0.014326405	0.026910304
0.63	6.10E-05	0.000339545	-0.001446283	0.009249912	-0.000737337	0.018010832
0.64	0.00012879	0.00040515	-0.003586873	0.005870087	0.015905865	0.020034192
0.65	2.90E-05	0.000191327	-0.000275413	0.011206865	0.014139883	0.037429412
0.66	9.79E-05	0.000227124	-1.98E-06	0.006954626	0.010981269	0.014859338
0.67	0.000192557	0.000237242	0.00631733	0.010651013	0.006070721	0.015082622
0.68	-4.66E-05	0.000181004	-0.005485606	0.010135037	0.010652431	0.017294693
0.69	6.45E-05	0.000332164	0.001473191	0.006239453	0.002281204	0.030583602
0.7	7.92E-05	0.000315454	0.000415963	0.005977227	-0.003346945	0.024194921
0.71	0.000115921	0.000368143	0.00064931	0.006034073	-0.005787282	0.00957998
0.72	0.000321196	0.000705211	-0.002865235	0.009042943	0.006133816	0.026543913
0.73	3.07E-05	0.000299033	-0.002422273	0.006481908	0.001457698	0.012017949
0.74	-1.01E-05	0.000445191	-0.001458303	0.004636603	0.006574097	0.013910953
0.75	-4.75E-05	0.000297164	-0.003192725	0.005640737	0.002298538	0.017055981
0.76	8.09E-05	0.000369216	-0.002226855	0.005756088	0.008772904	0.014518476
0.77	-3.69E-05	0.000196274	-0.000924705	0.005143609	0.004524965	0.034625602
0.78	-5.67E-05	0.000179005	0.000902799	0.004342332	-0.003124639	0.009792038
0.79	0.000150705	0.000193262	0.002525591	0.004818211	-0.000950617	0.017998071
0.8	0.000123278	0.000303709	0.003297522	0.005525363	0.010595048	0.0212235
0.81	-2.24E-05	0.0003749	0.000110148	0.005684156	0.001377407	0.025286127
0.82	6.78E-05	0.000333299	0.000595824	0.003181753	-0.000200613	0.008879907
0.83	-4.68E-05	0.000272749	0.004052717	0.00906113	-0.001023644	0.008210127
0.84	-8.27E-06	0.000180248	0.002502135	0.008959188	-0.000810862	0.010452017
0.85	0.000295485	0.000799215	0.004685117	0.009207007	0.009828992	0.022998416
0.86	0.000143076	0.000199674	-0.001558559	0.010610695	0.00261591	0.011468501
0.87	0.000104184	0.00031622	0.006471732	0.00622664	-0.009916049	0.019910841
0.88	7.69E-05	0.000354598	-0.002322705	0.011630636	-0.008076592	0.009731882
