Experiment subset: sand-gravel (SG) on rough bed
Data tables for cross sections at x= 32, 66, and 90 m are listed in succession below,
separated by blank lines and headers.				


Cross section: x = 32 m						
Column Headings: t is the time since gate release. h is the mean flow thickness. sigma is the mean						
basal total normal stress and pbed is the mean basal pore-fluid pressure. ""SD"" denotes the 						
standard deviation from the mean. 						
						
t(s)	h(m)		SD h(m)		sigma(kPa)	SD sigma(kPa)	pbed(kPa)	SD pbed(kPa)
0.59	-8.60861E-06	0.000322993	0.003382918	0.006708958	-0.002232445	0.017387397
0.6	-1.66828E-05	0.00028483	0.001140662	0.006502075	0.004583377	0.028190186
0.61	5.25356E-05	0.000216024	0.002591506	0.008847128	-0.008105258	0.021227412
0.62	0.000172736	0.000231427	-0.00214648	0.008632888	-0.009567504	0.018181495
0.63	2.48188E-05	0.000200682	-0.00099565	0.008628375	-0.016761066	0.028479788
0.64	7.43519E-05	0.000294205	-0.000873855	0.007090769	-0.00397112	0.014195012
0.65	-7.11748E-06	0.00020193	-0.001711002	0.006442137	-0.008001504	0.021919677
0.66	-0.000123169	0.000354121	0.000710902	0.007686295	-0.000812517	0.011217034
0.67	-1.24344E-06	0.000310964	-0.001739968	0.006172374	-0.002610655	0.004539122
0.68	-0.000162375	0.000306086	-0.002627201	0.008019925	-0.014978038	0.038225897
0.69	-0.00021941	0.000231789	-0.001466904	0.008279354	-0.011536148	0.019252176
0.7	7.51564E-05	0.000458171	-0.000588033	0.006381249	-0.005795313	0.017519548
0.71	3.72597E-05	0.000471038	-0.002109545	0.005813937	-0.000410669	0.008854829
0.72	-3.79783E-05	0.000307656	-0.000206166	0.009808816	0.001333419	0.012073395
0.73	1.43033E-05	0.000383673	-0.000354292	0.00717496	0.00922595	0.024736965
0.74	6.21096E-05	0.000314105	-0.000919958	0.00868162	0.004423177	0.018494813
0.75	3.63459E-06	0.000234339	-0.005633751	0.010664235	-0.001930051	0.0226351
0.76	0.00016341	0.000557841	0.000298424	0.012949727	0.001304185	0.012833162
0.77	1.32875E-05	0.000258834	-0.001901453	0.012661162	-0.003579636	0.012104084
0.78	1.61501E-05	0.000219174	-0.000863104	0.005940287	-0.006662121	0.018069541
0.79	6.26156E-05	0.00018527	-2.7102E-05	0.005555113	-0.014357926	0.047566377
0.8	-9.96493E-05	0.0002597	-0.001877767	0.004809819	-0.004249847	0.021756854
0.81	-5.07321E-05	0.000206837	0.000471961	0.006892992	-0.004941112	0.028473163
0.82	-8.48612E-06	0.000202755	-0.005188233	0.009994999	0.00603465	0.032608457
0.83	7.90207E-05	0.000254047	0.000869195	0.00868694	-0.002073418	0.018396702
0.84	5.42895E-06	0.000196679	-0.001719213	0.0102535	0.000540564	0.014078405
0.85	9.4026E-05	0.000181111	-0.001189266	0.008489566	-0.007938032	0.02077011
0.86	0.000108802	0.000217222	-0.002023174	0.005555919	-0.008882751	0.019982356
0.87	9.46282E-05	0.000147375	-0.000552817	0.006137035	-0.011844531	0.02583401
0.88	3.37878E-05	0.000276217	0.004422419	0.008331843	-0.01279323	0.036318244
0.89	-4.40309E-05	0.000182534	-0.005448276	0.007397524	-0.010717651	0.016414007
0.9	-0.000178572	0.000211379	0.003058388	0.011266977	-0.015188278	0.02992967
0.91	-0.00011861	0.000225872	0.002624728	0.007809513	-0.005172022	0.018275749
0.92	-7.45047E-05	0.000157373	0.002065585	0.007672791	-0.002285942	0.015138006
0.93	-8.93146E-05	0.000159391	0.002462795	0.008594344	0.003694201	0.020033541
0.94	-7.49695E-05	0.000252876	0.000854318	0.010888474	-0.005277542	0.020633736
0.95	-0.000120152	0.000229861	0.002917314	0.008812154	-0.009915695	0.020371458
0.96	-8.64239E-05	0.000231765	0.000198802	0.010181238	-0.014574183	0.029496143
0.97	-3.03384E-05	0.000261254	0.001243169	0.006739577	-0.018320155	0.044734968
0.98	-0.000160539	0.000459174	-0.000154074	0.009295458	-0.009824256	0.027238794
0.99	-6.45842E-06	0.000182026	0.005461983	0.011444981	-0.007500547	0.032580557
1	0.000135583	0.00031682	0.001101134	0.007651299	-0.006746982	0.014521219
1.01	4.09463E-05	0.00016863	0.002570984	0.006670457	-0.004368448	0.010348911
1.02	2.49356E-05	0.000238576	0.003411986	0.011874953	-0.00227134	0.009160589
1.03	-0.000106969	0.000188158	-0.008427377	0.007579881	-0.005820204	0.01185263
1.04	-3.87348E-05	0.000161348	0.000230348	0.010087898	0.006533014	0.014932809
1.05	-5.28325E-06	0.000211509	0.001186927	0.010685713	-0.004914836	0.01660854
1.06	-9.73438E-05	0.000338492	0.003097666	0.011002851	-0.013613096	0.033526758
1.07	-0.000107247	0.000357404	0.00180731	0.013249383	-0.004120274	0.010589537
1.08	-7.42152E-05	0.000235845	0.010707585	0.020221543	-0.001144647	0.014064643
1.09	-4.49855E-05	0.000221401	-0.00787908	0.024539761	0.007857027	0.034047959
1.1	-0.000108566	0.000266564	0.006883797	0.023622329	0.00269188	0.024840193
1.11	-5.55486E-05	0.000235364	-0.003218631	0.009861162	0.01097621	0.02453088
1.12	4.13203E-06	0.000255633	0.003655498	0.012997379	0.003884189	0.023963521
