Experiment subset: sand-gravel (SG) on smooth bed
Data tables for cross sections at x= 2, 32, and 66 m are listed in succession below,
separated by blank lines and headers.

		
Cross section: x = 2 m		
Column Headings: t is the time since gate release. h is the mean flow thickness.		
SD denotes the standard deviation from the mean.		

t(s)	h(m)		SD h(m)
1.8785	0.611567209	0.096076214
1.8885	0.611984309	0.094233038
1.8985	0.611052527	0.091327219
1.9085	0.611624764	0.089553853
1.9185	0.609725745	0.087933459
1.9285	0.608207982	0.087313968
1.9385	0.606197009	0.086959203
1.9485	0.604320445	0.088771424
1.9585	0.600429845	0.088002372
1.9685	0.596406745	0.08454515
1.9785	0.593274991	0.083024313
1.9885	0.589667345	0.082398064
1.9985	0.585037836	0.083189044
2.0085	0.5825436	0.083019237
2.0185	0.580268936	0.083710955
2.0285	0.579099073	0.08097019
2.0385	0.576516027	0.080538737
2.0485	0.570657173	0.078893434
2.0585	0.566370745	0.076465083
2.0685	0.563143836	0.075500602
2.0785	0.560165209	0.07446891
2.0885	0.557299491	0.07546463
2.0985	0.555267291	0.075720566
2.1085	0.548095936	0.07162465
2.1185	0.541516936	0.07007933
2.1285	0.535614527	0.068793154
2.1385	0.530778245	0.069440717
2.1485	0.528969509	0.070373436
2.1585	0.526005191	0.070268489
2.1685	0.521974573	0.066602446
2.1785	0.510898509	0.059880734
2.1885	0.506721464	0.056842298
2.1985	0.502742473	0.056434633
2.2085	0.497640818	0.055679069
2.2185	0.494914136	0.056554801
2.2285	0.491792373	0.056437381
2.2385	0.4879089	0.056658109
2.2485	0.478367091	0.052001227
2.2585	0.468295636	0.052112893
2.2685	0.461040045	0.051102857
2.2785	0.457261982	0.052823888
2.2885	0.452339536	0.051776648
2.2985	0.449883764	0.051061191
2.3085	0.448674036	0.050320576
2.3185	0.443696564	0.049706109
2.3285	0.435547964	0.047427127
2.3385	0.4294819	0.046984126
2.3485	0.424250236	0.045846377
2.3585	0.421349364	0.047423814
2.3685	0.418437464	0.046842267
2.3785	0.416486045	0.045704572
2.3885	0.410159055	0.043835246
2.3985	0.403969227	0.040999666
2.4085	0.398494764	0.039617981
2.4185	0.394660864	0.040207285
2.4285	0.391816436	0.040388766
2.4385	0.390797591	0.038987879
2.4485	0.388383245	0.038582295
2.4585	0.383454655	0.037158012
2.4685	0.378455655	0.039749943
2.4785	0.375603364	0.040950303
2.4885	0.371359809	0.040587264
2.4985	0.369532818	0.041054202
2.5085	0.367874345	0.040470509
2.5185	0.365049164	0.039993914
2.5285	0.360917455	0.040013486
2.5385	0.355343491	0.039658472
2.5485	0.351775036	0.040218131
2.5585	0.348730882	0.040359175
2.5685	0.344978745	0.040462678
2.5785	0.341967773	0.040419282
2.5885	0.339996409	0.041395338
2.5985	0.337138245	0.041545403
2.6085	0.334840955	0.041038218
2.6185	0.328988109	0.041292724
2.6285	0.325702864	0.040126379
2.6385	0.324236682	0.039893911
2.6485	0.321944109	0.039911365
2.6585	0.319834155	0.039877478
2.6685	0.317973936	0.039044185
2.6785	0.312257455	0.041022065
2.6885	0.309070873	0.04147789
2.6985	0.305954691	0.040326099
2.7085	0.301756082	0.041159186
2.7185	0.300895964	0.041571589
2.7285	0.299411736	0.041339539
2.7385	0.295416636	0.042478123
2.7485	0.291650573	0.044937259
2.7585	0.289435091	0.043251297
2.7685	0.2876082	0.042347133
2.7785	0.285435082	0.043133158
2.7885	0.283967264	0.043208429
2.7985	0.280982409	0.043646173
2.8085	0.279471564	0.045512145
2.8185	0.278343491	0.045285796
2.8285	0.275857273	0.042789653
2.8385	0.273780109	0.04336856
2.8485	0.272522282	0.044067044
2.8585	0.270204591	0.043297288
2.8685	0.267878873	0.042554346
2.8785	0.265779591	0.043416173
2.8885	0.263519791	0.043535338
2.8985	0.261725082	0.044287076
2.9085	0.258420773	0.040955077
2.9185	0.256463873	0.040783072
2.9285	0.254058809	0.040721678
2.9385	0.252425245	0.040032755
2.9485	0.251148409	0.040345871
2.9585	0.249272373	0.040524333
2.9685	0.245969236	0.041249808
2.9785	0.243133782	0.041233352
2.9885	0.241381318	0.039853777
2.9985	0.2404294	0.040376762
3.0085	0.239927136	0.040250354
3.0185	0.237934245	0.041237624
3.0285	0.233464336	0.039256565
3.0385	0.230810636	0.03953233
3.0485	0.229274455	0.040184788
3.0585	0.226120373	0.039734032
3.0685	0.223955782	0.039067001
3.0785	0.222890291	0.03824945
3.0885	0.221854173	0.037912944
3.0985	0.219705809	0.037025664
3.1085	0.217223627	0.036395385
3.1185	0.216021355	0.034807485
3.1285	0.214973618	0.03467541
3.1385	0.213328664	0.033554277
3.1485	0.212924909	0.032502274
3.1585	0.211571582	0.033727018
3.1685	0.209789645	0.032696199
3.1785	0.208876464	0.03130357
3.1885	0.208183636	0.031488532
3.1985	0.206682391	0.033233669
3.2085	0.204438773	0.034528543
3.2185	0.204105173	0.034345353
3.2285	0.202338764	0.035269295
3.2385	0.201640409	0.035470469
3.2485	0.200258355	0.032434536
3.2585	0.197453727	0.032912676
3.2685	0.193027591	0.03407048
3.2785	0.191552327	0.035198426
3.2885	0.191486573	0.034916009
3.2985	0.188599282	0.036368843
3.3085	0.1862971	0.036146619
3.3185	0.184667709	0.034403329
3.3285	0.183277855	0.033254996
3.3385	0.181419091	0.03409978
3.3485	0.179167909	0.034207114
3.3585	0.178510418	0.035355419
3.3685	0.177398573	0.03484075
3.3785	0.176451909	0.033734596
3.3885	0.172797045	0.032299262
3.3985	0.171847255	0.032009773
3.4085	0.171862682	0.031525039
3.4185	0.171135327	0.03380447
3.4285	0.169664064	0.03410439
3.4385	0.167637773	0.034881769
3.4485	0.165154465	0.037923357
3.4585	0.164396609	0.03729957
3.4685	0.162466056	0.037667067
3.4785	0.161489318	0.036186748
3.4885	0.155297777	0.043387675
3.4985	0.151552646	0.047943752
3.5085	0.147361045	0.052435655
3.5185	0.142910074	0.055949482
3.5285	0.14025806	0.056911172
3.5385	0.136228622	0.059016592
3.5485	0.135179263	0.059869374
3.5585	0.133433329	0.060359155
3.5685	0.13192475	0.060683423
3.5785	0.130889343	0.061749407
3.5885	0.130333616	0.062290229
3.5985	0.127102039	0.062179333
3.6085	0.125683119	0.061861432
3.6185	0.124659405	0.062745326
3.6285	0.122849282	0.06609803
3.6385	0.121702655	0.068055188
3.6485	0.119630234	0.068819081
3.6585	0.116164131	0.071847552
3.6685	0.111491298	0.079014724
3.6785	0.109125636	0.085134819
3.6885	0.107865725	0.08733756
3.6985	0.106863976	0.089725383
3.7085	0.105565191	0.090739344
3.7185	0.103910893	0.091729955
3.7285	0.103106115	0.092931378
3.7385	0.101481812	0.093991112
3.7485	0.098954238	0.094786284
3.7585	0.093911469	0.09643796
3.7685	0.092317333	0.096469427
3.7785	0.089460068	0.096717517
3.7885	0.088287524	0.097320844
3.7985	0.086808955	0.098349615
3.8085	0.084498752	0.098103209
3.8185	0.07854595	0.094989103
3.8285	0.075798255	0.093934864
3.8385	0.071972439	0.091390005
3.8485	0.070770514	0.091064136
3.8585	0.069127091	0.09097759
3.8685	0.067972472	0.090656151
3.8785	0.064549415	0.090806941
3.8885	0.060207975	0.091523593
3.8985	0.059264272	0.092049446
3.9085	0.05690207	0.093104467
3.9185	0.056599002	0.09362941
3.9285	0.058179365	0.088468292
3.9385	0.059157639	0.083830081
3.9485	0.060539245	0.081255408
3.9585	0.060329722	0.07901104
3.9685	0.058828608	0.079119671
3.9785	0.057927833	0.078560839
3.9885	0.055985341	0.076455645
3.9985	0.054489902	0.07545765
4.0085	0.053719381	0.073851818
4.0185	0.054231773	0.07151268
4.0285	0.052346774	0.06319976
4.0385	0.051167411	0.060959189
4.0485	0.049703719	0.061494655
4.0585	0.049122577	0.058739004
4.0685	0.045894957	0.058288557
4.0785	0.042776865	0.060385193
4.0885	0.042293066	0.058512187
4.0985	0.040949836	0.05870744
4.1085	0.038971436	0.058815365
4.1185	0.034572062	0.060703011
4.1285	0.032246583	0.061411772
4.1385	0.031024065	0.060920031
4.1485	0.031772007	0.059891127
4.1585	0.033514602	0.059219257
4.1685	0.03223471	0.058065018
4.1785	0.032846233	0.058994145
4.1885	0.03198679	0.058437111
4.1985	0.031327036	0.058611466
4.2085	0.030789285	0.058502892
4.2185	0.031589987	0.058276225
4.2285	0.027529923	0.058459207
4.2385	0.023912906	0.058220615
4.2485	0.021651724	0.058803747
4.2585	0.02004592	0.06019671
4.2685	0.019474384	0.060321447
4.2785	0.017284664	0.060894693
4.2885	0.014679722	0.060817438
4.2985	0.01399782	0.060885481
4.3085	0.0137628	0.060978497
4.3185	0.015324132	0.05965661
4.3285	0.019036523	0.057011579
4.3385	0.020171135	0.05538495
4.3485	0.020032994	0.052649135
4.3585	0.021026052	0.051913125
4.3685	0.015053873	0.06209773
4.3785	0.01098282	0.069819896
4.3885	0.009086225	0.074734852
4.3985	0.008119375	0.079318076
4.4085	0.006624586	0.081593776
4.4185	0.006232535	0.083471363
4.4285	0.005552215	0.084701105
4.4385	0.004206814	0.087081861
4.4485	-0.000238078	0.088762405
4.4585	-0.004920227	0.094383142
4.4685	-0.005369648	0.099360117
4.4785	-0.005198172	0.103866369
4.4885	-0.005271109	0.1075383
4.4985	-0.008487373	0.113199791
4.5085	-0.010952195	0.116631297
4.5185	-0.013572714	0.119452231
4.5285	-0.014571542	0.12132349
4.5385	-0.014829512	0.125255305
4.5485	-0.016726966	0.129602188
4.5585	-0.017442239	0.133204115
4.5685	-0.020031017	0.134550733
4.5785	-0.020886605	0.135996305
4.5885	-0.020806033	0.136861444
4.5985	-0.020765283	0.144977058
4.6085	-0.021471335	0.15047226
4.6185	-0.021888238	0.154257467
4.6285	-0.02118638	0.156199337
4.6385	-0.021830716	0.157184599
4.6485	-0.022363033	0.158023881
4.6585	-0.021701922	0.159153285
4.6685	-0.021958911	0.158276407
4.6785	-0.020394559	0.158657506
4.6885	-0.0199325	0.157993661
4.6985	-0.020690915	0.157605238
4.7085	-0.018932937	0.157629505
4.7185	-0.016077234	0.151264153
4.7285	-0.015216603	0.146361992
4.7385	-0.01618465	0.142255572
4.7485	-0.01583148	0.139916384
4.7585	-0.016476037	0.138038296
4.7685	-0.015751279	0.134874287
4.7785	-0.015461161	0.130677488
4.7885	-0.016145375	0.12832739
4.7985	-0.013349392	0.120515694
4.8085	-0.010630158	0.111948741
4.8185	-0.010589057	0.105707044
4.8285	-0.013465384	0.103588844
4.8385	-0.014816171	0.103376735
4.8485	-0.015530343	0.100328657
4.8585	-0.015628093	0.098476386
4.8685	-0.016422813	0.098509475
4.8785	-0.017166792	0.095577316
4.8885	-0.018298738	0.089744069
4.8985	-0.017897204	0.08381209
4.9085	-0.018068909	0.079245177
4.9185	-0.018843	0.076328588
4.9285	-0.01972976	0.075686892
4.9385	-0.015869268	0.069216309
4.9485	-0.012385528	0.062635638
4.9585	-0.009423821	0.059627049
4.9685	-0.008305212	0.058231095
4.9785	-0.008677975	0.058295249
4.9885	-0.008817405	0.058396468
4.9985	-0.008398815	0.058436039
5.0085	-0.009202939	0.058503779
5.0185	-0.008537385	0.057159442
5.0285	-0.009607036	0.056450286
5.0385	-0.008715662	0.056156645
5.0485	-0.01251754	0.060193216
5.0585	-0.014587949	0.063638214
5.0685	-0.015755917	0.065288547
5.0785	-0.017344132	0.06717571
5.0885	-0.0172756	0.066511185
5.0985	-0.015004032	0.064488779
5.1085	-0.014547291	0.064302058
5.1185	-0.014343703	0.061561071
5.1285	-0.014903847	0.061185005
5.1385	-0.015798569	0.060200848
5.1485	-0.017064244	0.060129725
5.1585	-0.017116313	0.059431331
5.1685	-0.018316619	0.059872414
5.1785	-0.020733309	0.060110317
5.1885	-0.022038979	0.061011366
5.1985	-0.023905345	0.059955037
5.2085	-0.025747539	0.060842525
5.2185	-0.027564529	0.061495751
5.2285	-0.027867752	0.062138062
5.2385	-0.029389368	0.062857682
5.2485	-0.028254556	0.063347267
5.2585	-0.028890937	0.062735361
5.2685	-0.029273024	0.062113522
5.2785	-0.028908803	0.060052916
5.2885	-0.029038533	0.060817274
5.2985	-0.030405071	0.06028725
5.3085	-0.030130856	0.060777008
5.3185	-0.0307057	0.06162928
5.3285	-0.031308609	0.06320318
5.3385	-0.03082583	0.062870644
5.3485	-0.030567088	0.064223975
5.3585	-0.030471988	0.064604154
5.3685	-0.031631137	0.065904883
5.3785	-0.031639144	0.065784536
5.3885	-0.029074132	0.06144235
5.3985	-0.025543246	0.05312595
5.4085	-0.02224516	0.047527294
5.4185	-0.021546067	0.045022773
5.4285	-0.021007557	0.042970907
5.4385	-0.021094127	0.042700065
5.4485	-0.020243007	0.041628988
5.4585	-0.020783182	0.040642522
5.4685	-0.021335911	0.037958325
5.4785	-0.023375044	0.035878571
5.4885	-0.025610304	0.0348132
5.4985	-0.02590958	0.03507115
5.5085	-0.026215658	0.035345453
5.5185	-0.026644217	0.035979732
5.5285	-0.027195645	0.03570635
5.5385	-0.026254794	0.035840088
5.5485	-0.02615197	0.035962763
5.5585	-0.02533811	0.036750361
5.5685	-0.025194671	0.036104046
5.5785	-0.025341672	0.03691093
5.5885	-0.026074133	0.036520648
5.5985	-0.025974723	0.037384847
5.6085	-0.025153078	0.036426999
5.6185	-0.02382618	0.0354715
5.6285	-0.022046971	0.034841419
5.6385	-0.021869276	0.035673959
5.6485	-0.021428616	0.036061978
5.6585	-0.024829395	0.035376714
5.6685	-0.027461566	0.042230131
5.6785	-0.02983114	0.047380115
5.6885	-0.030538495	0.048038615
5.6985	-0.031831191	0.049489019
5.7085	-0.033672017	0.050341514
5.7185	-0.033859924	0.052071843
5.7285	-0.034249907	0.052924944
5.7385	-0.034023652	0.053381675
5.7485	-0.032435317	0.048638517
5.7585	-0.030848898	0.043776504
5.7685	-0.029709224	0.040814814
5.7785	-0.02928921	0.039489963
5.7885	-0.028933516	0.03851546
5.7985	-0.028972161	0.03674537
5.8085	-0.029752123	0.037278276
5.8185	-0.028039139	0.036418597
5.8285	-0.028241034	0.036768276
5.8385	-0.028767773	0.036943459
5.8485	-0.028785899	0.03607784
5.8585	-0.029153759	0.036412854
5.8685	-0.029583702	0.036088999
5.8785	-0.028543673	0.036193217
5.8885	-0.028086505	0.036096153
5.8985	-0.026937171	0.033744866
5.9085	-0.024557212	0.031559986
5.9185	-0.02413649	0.030926061
5.9285	-0.023237049	0.030284627
5.9385	-0.022504282	0.030109469
5.9485	-0.023181314	0.029489532
5.9585	-0.022963094	0.029511457
5.9685	-0.023170486	0.029870689
5.9785	-0.021700947	0.028153851
5.9885	-0.022395475	0.028722965
5.9985	-0.023319731	0.028656016
6.0085	-0.024193879	0.028793583
6.0185	-0.024796794	0.028301884
6.0285	-0.024557276	0.028278168
6.0385	-0.022236473	0.026326376
6.0485	-0.0206268	0.026578468
6.0585	-0.020184939	0.02575628
6.0685	-0.021072694	0.026428914
6.0785	-0.021953044	0.026216156
6.0885	-0.023442606	0.028445576
6.0985	-0.02174313	0.027644263
6.1085	-0.02169809	0.029977007
6.1185	-0.022710856	0.029584259
6.1285	-0.022850213	0.029387378
6.1385	-0.023988343	0.029025102
6.1485	-0.023976821	0.029251118
6.1585	-0.023548711	0.029270808
6.1685	-0.022867024	0.029253157
6.1785	-0.023335237	0.028368145
6.1885	-0.022950998	0.028122916
6.1985	-0.023450517	0.027886272
6.2085	-0.024119506	0.02811115
6.2185	-0.024130283	0.027635212
6.2285	-0.021933676	0.024878825
6.2385	-0.016793495	0.018218142
6.2485	-0.014463583	0.015315481
6.2585	-0.01370078	0.01434734
6.2685	-0.013654552	0.014130843
6.2785	-0.013972429	0.014595208
6.2885	-0.013991099	0.014425221
6.2985	-0.014268122	0.014090704
6.3085	-0.015340768	0.014080928
6.3185	-0.014059456	0.013808129
6.3285	-0.013268443	0.013652086
6.3385	-0.013820031	0.013766479
6.3485	-0.014316984	0.01343517
6.3585	-0.014860526	0.012760543
6.3685	-0.014549784	0.012939607
6.3785	-0.014283101	0.012665914
6.3885	-0.015380229	0.012584512
6.3985	-0.015654549	0.012869461
6.4085	-0.015985054	0.01330049
6.4185	-0.016003636	0.013563354
6.4285	-0.016823691	0.013972095
6.4385	-0.017616908	0.014276128
6.4485	-0.017865952	0.013913156
6.4585	-0.018898439	0.013915573
6.4685	-0.018925602	0.013898758
6.4785	-0.018328233	0.013458878
6.4885	-0.01811411	0.012865249
6.4985	-0.018871019	0.01245045
6.5085	-0.02038503	0.012254823
6.5185	-0.022393235	0.012556711
6.5285	-0.022911971	0.014724577
6.5385	-0.024029384	0.016997778
6.5485	-0.023805502	0.018571601
6.5585	-0.02450634	0.019454745
6.5685	-0.025701794	0.020037003
6.5785	-0.025527681	0.020391123
6.5885	-0.025264945	0.020553503
6.5985	-0.026538114	0.024673631
6.6085	-0.028682995	0.031060645
6.6185	-0.030379946	0.036295159
6.6285	-0.032451538	0.039111028
6.6385	-0.033229716	0.041020149
6.6485	-0.033223803	0.041729266
6.6585	-0.032514026	0.043310785
6.6685	-0.030978964	0.044299658
6.6785	-0.030698506	0.044713747
6.6885	-0.03194934	0.044440865
6.6985	-0.031840116	0.045381068
6.7085	-0.03146117	0.04548289
6.7185	-0.032803865	0.045290616
6.7285	-0.036197911	0.050544141
6.7385	-0.037454307	0.057792762
6.7485	-0.038824989	0.062648992
6.7585	-0.038939607	0.065756603
6.7685	-0.039193357	0.067106514
6.7785	-0.039530689	0.068295972
6.7885	-0.039595824	0.068682977
6.7985	-0.038028406	0.069615578
6.8085	-0.038271201	0.070469939
6.8185	-0.038526055	0.071038348
6.8285	-0.039445487	0.071306583
6.8385	-0.039425614	0.071167581
6.8485	-0.039963597	0.071021284
6.8585	-0.039259037	0.071073787
6.8685	-0.040337117	0.07093333
6.8785	-0.039297207	0.071262776
6.8885	-0.038743477	0.070849632
6.8985	-0.039683268	0.069642463
6.9085	-0.039417615	0.070288262
6.9185	-0.039086303	0.07040123
6.9285	-0.038587565	0.070963852
6.9385	-0.038951145	0.070481005
6.9485	-0.038667571	0.070687764
6.9585	-0.037657698	0.070141533
6.9685	-0.038313177	0.070312999
6.9785	-0.038191236	0.070469836
6.9885	-0.037382696	0.071507392
6.9985	-0.037878844	0.070835022
7.0085	-0.038348118	0.071652497
7.0185	-0.039098075	0.071951354
7.0285	-0.040126183	0.072588423
7.0385	-0.040816493	0.072225565
7.0485	-0.041803813	0.072582184
